CODE_TYPE_EVENT;EVENT_NAME;ALERT_FLAG;CLOSE_FLAG;OPEN_FLAG;FAILURE_FLAG;REPAIR_FLAG;OTHER_FLAG;TEST_FLAG;INFO_SFLAG;WARNING_SFLAG;ERROR_SFLAG;REPAIR_SFLAG;CRIT_ERROR_SFLAG;DELETED
464;Автоматическое взятие в дополнительное время;0;1;0;0;0;0;0;0;0;0;0;0;
465;Сброс экстренного вызова;0;0;0;0;1;0;0;0;0;0;0;0;
466;Снят с охраны сервисной службой;0;0;1;0;0;0;0;0;0;0;0;0;0
497;Подмена УОО;1;0;0;0;0;0;0;0;0;0;0;0;
498;Подбор кода;1;0;0;0;0;0;0;0;0;0;0;0;
499;Удаленный подбор кода;1;0;0;0;0;0;0;0;0;0;0;0;
501;Считыватель доступа отключен;0;0;0;0;0;1;0;0;0;0;0;0;
520;Реле запрещено;0;0;0;0;0;1;0;0;0;0;0;0;
521;Сирена запрещена;0;0;0;0;0;1;0;0;0;0;0;0;
523;Тревога реле запрещена;0;0;0;0;0;1;0;0;0;0;0;0;
524;Неисправность реле запрещена;0;0;0;0;0;1;0;0;0;0;0;0;
525;Реверс реле запрещен;0;0;0;0;0;1;0;0;0;0;0;0;
526;Извещатель отключен;0;0;0;0;0;1;0;0;0;0;0;0;0
531;Добавлен модуль;0;0;0;0;0;1;0;0;0;0;0;0;0
532;Модуль удален;0;0;0;0;0;1;0;0;0;0;0;0;0
551;Телефонный коммуникатор отключен;0;0;0;0;0;1;0;0;0;0;0;0;0
552;Передатчик LARS отключен;0;0;0;0;0;1;0;0;0;0;0;0;0
553;Удаленная загрузка отключена;0;0;0;0;0;1;0;0;0;0;0;0;0
570;Пропуск зоны;0;0;0;0;0;1;0;0;0;0;0;0;
571;Пропуск пожарной зоны;0;0;0;0;0;1;0;0;0;0;0;0;
572;Пропуск круглосуточной зоны;0;0;0;0;0;1;0;0;0;0;0;0;
573;Пропуск охранной зоны;0;0;0;0;0;1;0;0;0;0;0;0;
574;Групповой пропуск;0;0;0;0;0;1;0;0;0;0;0;0;
575;Пропуск неисправной зоны;0;0;0;0;0;1;0;0;0;0;0;0;0
576;Зона доступа шунтирована;0;0;0;0;0;1;0;0;0;0;0;0;
577;Пропуск точки доступа;0;0;0;0;0;1;0;0;0;0;0;0;
578;Пропуск ошибки;0;0;0;0;0;1;0;0;0;0;0;0;
598;Отключение зоны из-за неисправности;0;0;0;1;0;0;0;0;0;0;0;0;
601;Ручной тест связи;0;0;0;0;0;0;1;0;0;0;0;0;
602;Периодический тест;0;0;0;0;0;0;1;0;0;0;0;0;
603;Периодический тест LARS;0;0;0;0;0;0;1;0;0;0;0;0;
604;Пожарный тест;0;0;0;0;0;0;1;0;0;0;0;0;
605;Отправка статуса;0;0;0;0;0;0;1;0;0;0;0;0;0
607;Тест системы;0;0;0;0;0;1;0;0;0;0;0;0;
608;Не выполнен периодический тест;0;0;0;1;0;0;0;0;0;0;0;0;0
609;Видеопередача активирована;0;0;0;0;0;1;0;0;0;0;0;0;0
611;Контрольная точка проверена;0;0;0;0;0;0;1;0;0;0;0;0;0
612;Контрольная точка не проверена;0;0;0;1;0;0;0;0;0;0;0;0;0
613;Охранная зона проверена;0;0;0;0;0;0;1;0;0;0;0;0;0
614;Пожарная зона проверена;0;0;0;0;0;0;1;0;0;0;0;0;0
615;Тестовая тревога;0;0;0;0;0;0;1;0;0;0;0;0;
